"Time","G-Force"
1610826600000,-0.022796052631578922
1610826900000,0.22954166666666662
1610827200000,-0.11585416666666666
1610827500000,0.33645833333333314
1610827800000,-0.2836853448275863
1610828100000,0.08316666666666665
1610828400000,-0.0965208333333333
1610828700000,0.07081250000000001
1610829000000,-0.1073125
1610829300000,-0.037187500000000005
1610829600000,-0.11810416666666668
1610829900000,0.12389583333333333
1610830200000,0.04804166666666666
1610830500000,0.02752083333333334
1610830800000,-0.07508333333333338
1610831100000,0.13107758620689658
1610831400000,-0.09014583333333333
1610831700000,0.2006875
1610832000000,-0.10079166666666665
1610832300000,0.07704166666666663
1610832600000,0.033895833333333326
1610832900000,0.013895833333333323
1610833200000,0.16141666666666665
1610833500000,0.037291666666666654
1610833800000,0.03029166666666667
1610834100000,0.12197115384615384
1610834400000,0.07924999999999999
1610834700000,-0.20331250000000006
1610835000000,-0.03595833333333334
1610835300000,0.2328333333333334
1610835600000,0.03745833333333335
1610835900000,-0.050624999999999976
1610836200000,0.04850000000000001
1610836500000,-0.27545138888888887
1610836800000,0.03474537037037036
1610837100000,0.08506465517241382
1610837400000,0.0644642857142857
1610837700000,-0.4645535714285714
1610838000000,-0.024943181818181823
1610838300000,0.010486111111111097
1610838600000,0.07375000000000001
1610838900000,0.12120833333333333
1610839200000,-0.034310344827586194
1610839500000,-0.026125000000000006
1610839800000,0.22697916666666665
1610840100000,0.12547916666666672
1610840400000,0.16274999999999998
1610840700000,-0.09252083333333334
1610841000000,0.006077586206896561
1610841300000,-0.03685416666666666
1610841600000,-0.1223125
1610841900000,-0.042895833333333334
1610842200000,-0.008124999999999997
1610842500000,0.12502083333333333
1610842800000,-0.07360416666666669
1610843100000,0.0414375
1610843400000,0.05775000000000002
1610843700000,-0.050541666666666686
1610844000000,-0.20010416666666667
1610844300000,-0.16605603448275866
1610844600000,-0.07806249999999999
1610844900000,0.026874999999999972
1610845200000,0.006416666666666672
1610845500000,0.01189583333333334
1610845800000,-0.13122916666666665
1610846100000,0.010249999999999997
1610846400000,0.04379166666666667
1610846700000,0.11508333333333333
1610847000000,-0.15174999999999994
1610847300000,-0.017124999999999998
1610847600000,0.3095625
1610847900000,-0.028104166666666673
1610848200000,-0.07260416666666666
1610848500000,0.23147916666666665
1610848800000,0.11216666666666665
1610849100000,-0.07920833333333335
1610849400000,-0.08122916666666666
1610849700000,-0.20275000000000004
1610850000000,0.1242708333333333
1610850300000,0.08818750000000002
1610850600000,-0.06491666666666665
1610850900000,0.0021982758620689683
1610851200000,-0.1610208333333333
1610851500000,-0.2
1610851800000,0.37995833333333345
1610852100000,0.13291666666666666
1610852400000,-0.06272916666666668
1610852700000,0.16566666666666666
1610853000000,-0.23587499999999992
1610853300000,-0.3649583333333334
1610853600000,-0.02727499999999999
1610853900000,-0.24972916666666664
1610854200000,-0.01269396551724138
1610854500000,0.08956896551724139
1610854800000,0.013916666666666681
1610855100000,0.1162916666666667
1610855400000,0.2567291666666667
1610855700000,0.0543958333333333
1610856000000,-0.008395833333333309
1610856300000,-0.16329166666666667
1610856600000,0.6265625
1610856900000,0.0609166666666667
1610857200000,0.1327291666666667
1610857500000,0.27260416666666665
1610857800000,0.2894583333333333
1610858100000,-0.00560416666666671
1610858400000,-0.09414583333333336
1610858700000,0.056125
1610859000000,-0.11637931034482758
1610859300000,-0.047895833333333374
1610859600000,0.002229166666666666
1610859900000,0.18008333333333332
1610860200000,-0.048749999999999974
1610860500000,0.08450000000000002
1610860800000,-0.19570833333333332
1610861100000,-0.04849999999999998
1610861400000,-0.07304166666666666
1610861700000,-0.173625
1610862000000,-0.009833333333333324
1610862300000,0.1757543103448276
1610862600000,0.1489791666666667
1610862900000,-0.0673958333333333
1610863200000,0.03779166666666665
1610863500000,-0.02095833333333336
1610863800000,0.380375
1610864100000,-0.09410416666666667
1610864400000,-0.024375000000000025
1610864700000,0.11270833333333335
1610865000000,-0.05539583333333333
1610865300000,0.14781249999999999
1610865600000,-0.11422916666666669
1610865900000,-0.09156249999999998
1610866200000,-0.1578958333333333
1610866500000,0.004083333333333287
1610866800000,-0.32343749999999993
1610867100000,0.23614583333333342
1610867400000,0.17935416666666668
1610867700000,-0.06779166666666671
1610868000000,-0.02299999999999999
1610868300000,0.12610416666666666
1610868600000,-0.29745833333333327
1610868900000,0.08131249999999998
1610869200000,0.18695833333333337
1610869500000,-0.1253333333333333
1610869800000,-0.17614583333333336
1610870100000,0.224875
