"Time","J2"
1610825400000,0.14575
1610825700000,0.11334482758620691
1610826000000,0.06539285714285716
1610826300000,0.02356666666666667
1610826600000,-0.0113
1610826900000,0.00033333333333333224
1610827200000,-0.015366666666666669
1610827500000,-0.02793333333333333
1610827800000,0.0866206896551724
1610828100000,0.057482758620689654
1610828400000,0.06683333333333334
1610828700000,0.03453333333333334
1610829000000,0.11603333333333336
1610829300000,0.12843333333333334
1610829600000,0.07970000000000003
1610829900000,-0.005566666666666662
1610830200000,0.04639999999999999
1610830500000,0.09599999999999996
1610830800000,0.09370000000000002
1610831100000,0.10568965517241379
1610831400000,0.13486206896551722
1610831700000,0.01046666666666667
1610832000000,-0.04039999999999999
1610832300000,0.03446666666666667
1610832600000,0.08583333333333329
1610832900000,0.23986666666666664
1610833200000,0.3831666666666668
1610833500000,0.5095333333333334
1610833800000,1.8418
1610834100000,2.6934615384615386
1610834400000,2.7576333333333327
1610834700000,2.4721666666666664
1610835000000,2.4028999999999994
1610835300000,2.2921666666666667
1610835600000,2.2110666666666665
1610835900000,2.0264074074074077
1610836200000,1.6175000000000002
1610836500000,1.5738823529411763
1610836800000,0.9183333333333332
1610837100000,0.47737931034482767
1610837400000,0.41232142857142856
1610837700000,0.46257142857142863
1610838000000,0.5516363636363636
1610838300000,0.5162857142857142
1610838600000,0.44726666666666676
1610838900000,0.43896666666666667
1610839200000,0.40910344827586215
1610839500000,0.44268965517241377
1610839800000,0.339448275862069
1610840100000,0.2733
1610840400000,0.28983333333333333
1610840700000,0.29233333333333333
1610841000000,0.2247241379310345
1610841300000,0.25450000000000006
1610841600000,0.25551724137931037
1610841900000,0.218
1610842200000,0.2909
1610842500000,0.29256666666666675
1610842800000,0.33046666666666663
1610843100000,0.2835
1610843400000,0.28496666666666665
1610843700000,0.3483666666666666
1610844000000,0.36216666666666664
1610844300000,0.38958620689655166
1610844600000,0.2910333333333333
1610844900000,0.25786666666666663
1610845200000,0.32373333333333326
1610845500000,0.2737666666666667
1610845800000,0.2640333333333333
1610846100000,0.2437
1610846400000,0.1739
1610846700000,0.18546666666666667
1610847000000,0.23910000000000003
1610847300000,0.22173333333333337
1610847600000,0.22013793103448276
1610847900000,0.22416666666666674
1610848200000,0.16946666666666668
1610848500000,0.17626666666666668
1610848800000,0.23709999999999998
1610849100000,0.23743333333333333
1610849400000,0.3494
1610849700000,0.3167666666666667
1610850000000,0.24083333333333337
1610850300000,0.2184666666666667
1610850600000,0.1864
1610850900000,0.2873793103448276
1610851200000,0.34433333333333327
1610851500000,0.11279999999999998
1610851800000,0.2224666666666667
1610852100000,0.3566666666666667
1610852400000,0.4943
1610852700000,0.4463333333333333
1610853000000,0.405
1610853300000,0.44743333333333335
1610853600000,0.37027999999999994
1610853900000,0.24430000000000002
1610854200000,0.17375000000000002
1610854500000,0.19109999999999996
1610854800000,0.2854
1610855100000,0.20736666666666667
1610855400000,0.3783
1610855700000,0.3812999999999999
1610856000000,0.3830689655172415
1610856300000,0.21683333333333327
1610856600000,0.0735
1610856900000,0.1387
1610857200000,0.12806666666666666
1610857500000,0.18773333333333334
1610857800000,0.24713333333333334
1610858100000,0.21636666666666665
1610858400000,0.30573333333333336
1610858700000,0.23996666666666663
1610859000000,0.22113793103448276
1610859300000,0.16820000000000004
1610859600000,0.2207666666666667
1610859900000,0.25873333333333337
1610860200000,0.2561333333333333
1610860500000,0.2763666666666666
1610860800000,0.26926666666666677
1610861100000,0.23293333333333333
1610861400000,0.18743333333333337
1610861700000,0.29423333333333335
1610862000000,0.3411
1610862300000,0.418103448275862
1610862600000,0.51
1610862900000,0.5832666666666667
1610863200000,0.5108333333333333
1610863500000,0.5155333333333334
1610863800000,0.4588000000000001
1610864100000,0.3921333333333333
1610864400000,0.3566333333333334
1610864700000,0.33703333333333335
1610865000000,0.3431999999999999
1610865300000,0.3215000000000001
1610865600000,0.3767666666666667
1610865900000,0.39693333333333325
1610866200000,0.3777666666666667
1610866500000,0.34303333333333336
1610866800000,0.34176666666666666
1610867100000,0.28376666666666667
